Fecha;Valor
23/09/2023;65
24/09/2023;67
25/09/2023;64
26/09/2023;67
27/09/2023;68
28/09/2023;69
29/09/2023;70
30/09/2023;73
01/10/2023;78
02/10/2023;78
03/10/2023;79
04/10/2023;80
05/10/2023;80
06/10/2023;80
07/10/2023;82
08/10/2023;84
09/10/2023;84
10/10/2023;84
11/10/2023;84
12/10/2023;81
13/10/2023;81
14/10/2023;81
15/10/2023;81
16/10/2023;83
17/10/2023;83
18/10/2023;85
19/10/2023;85
20/10/2023;85
21/10/2023;85
22/10/2023;86
23/10/2023;86
24/10/2023;86
25/10/2023;84
26/10/2023;88
27/10/2023;88
28/10/2023;82
29/10/2023;82
30/10/2023;88
31/10/2023;89
01/11/2023;89
02/11/2023;89
03/11/2023;89
04/11/2023;83
05/11/2023;83
06/11/2023;82
07/11/2023;81
08/11/2023;80
09/11/2023;74
10/11/2023;74
11/11/2023;81
12/11/2023;84
13/11/2023;87
14/11/2023;90
15/11/2023;91
16/11/2023;91
17/11/2023;91
18/11/2023;94
19/11/2023;90
20/11/2023;87
21/11/2023;84
22/11/2023;83
23/11/2023;78
24/11/2023;81
25/11/2023;82
26/11/2023;84
27/11/2023;80
28/11/2023;77
29/11/2023;78
30/11/2023;77
01/12/2023;79
02/12/2023;80
03/12/2023;82
04/12/2023;83
05/12/2023;83
06/12/2023;84
07/12/2023;82
08/12/2023;85
09/12/2023;86
10/12/2023;86
11/12/2023;87
12/12/2023;88
13/12/2023;89
14/12/2023;90
15/12/2023;93
16/12/2023;94
17/12/2023;95
18/12/2023;95
19/12/2023;95
20/12/2023;91
21/12/2023;90
22/12/2023;90
23/12/2023;90
24/12/2023;42
25/12/2023;30
26/12/2023;65
27/12/2023;87
28/12/2023;90
29/12/2023;93
30/12/2023;96
31/12/2023;98
